#PIFO
101 SP {102, true, 1} {103, true, 2}
102 WFQ {1, false, 1} {3, false, 1} {306, true, 1} {409, true, 1}
103 WFQ {6, false, 1} {8, false, 1} {204, true, 1} {512, true, 1}
204 WFQ {104, false, 1} {105, false, 1} {205, true, 8}
205 SP {106, false, 1} {107, false, 2} {108, false, 3}
306 WFQ {307, true, 1} {308, true, 1}
307 SP {206, false, 1} {207, false, 2}
308 WFQ {208, false, 1} {209, false, 1}
409 WFQ {410, true, 1} {411, true, 1}
410 SP {309, false, 1} {310, false, 2}
411 SP {311, false, 1} {312, false, 2}
512 SP {513, true, 1} {514, true, 2} {515, true, 3} {516, true, 4}
513 WFQ {412, false, 1} {413, false, 1} {414, false, 1}
514 WFQ {415, false, 1} {416, false, 1} {417, false, 1}
515 WFQ {418, false, 2} {419, false, 3}
516 WFQ {420, false, 1} {421, false, 1} {422, false, 1}

#Flow
1 {101, 102}
3 {101, 102}
6 {101, 103}
8 {101, 103}
104 {101, 103, 204}
105 {101, 103, 204}
106 {101, 103, 204, 205}
107 {101, 103, 204, 205}
108 {101, 103, 204, 205}
206 {101, 102, 306, 307}
207 {101, 102, 306, 307}
208 {101, 102, 306, 308}
209 {101, 102, 306, 308}
309 {101, 102, 409, 410}
310 {101, 102, 409, 410}
311 {101, 102, 409, 411}
312 {101, 102, 409, 411}
412 {101, 103, 512, 513}
413 {101, 103, 512, 513}
414 {101, 103, 512, 513}
415 {101, 103, 512, 514}
416 {101, 103, 512, 514}
417 {101, 103, 512, 514}
418 {101, 103, 512, 515}
419 {101, 103, 512, 515}
420 {101, 103, 512, 516}
421 {101, 103, 512, 516}
422 {101, 103, 512, 516}
